time (s)	magX	magY	magZ
21991.215529	-87.407944	320.677979	-931.423096
21991.218835	-82.498535	312.203400	-942.878357
21991.222148	-77.063118	302.618378	-955.327271
21991.225459	-72.095268	293.793121	-967.659241
21991.228788	-66.133835	284.324951	-979.173035
21991.232220	-59.821739	274.681488	-989.809998
21991.235514	-53.801865	265.037994	-1001.148437
21991.238824	-47.957336	255.219177	-1011.025635
21991.242162	-40.826996	245.517242	-1022.890137
21991.245483	-34.398010	235.289322	-1031.890747
21991.248859	-27.910578	224.944473	-1042.469360
21991.252196	-21.364698	213.956741	-1051.060791
21991.255488	-14.234365	202.735245	-1061.171875
21991.258841	-7.630041	192.098190	-1069.821777
21991.262173	-0.265924	180.292236	-1078.530151
21991.265482	6.689071	168.836945	-1086.128052
21991.269290	13.877850	157.089432	-1093.784424
21991.272592	21.241964	145.517242	-1101.148560
21991.275533	27.963181	133.126816	-1108.045044
21991.279259	35.210403	120.502625	-1114.123291
21991.282599	42.282291	108.404449	-1121.078369
21991.285920	48.477501	96.072479	-1125.578735
21991.289305	55.724724	83.448273	-1132.241455
21991.292663	62.212158	70.999420	-1136.858643
21991.295969	69.225601	57.907658	-1141.358887
21991.299282	75.829926	45.283459	-1144.807129
21991.302641	82.960258	32.483929	-1148.898315
21991.305979	88.980133	19.567505	-1151.528320
21991.309377	95.642906	4.839275	-1154.041626
21991.312682	102.364120	-7.726475	-1155.677979
21991.315995	107.916420	-20.701344	-1157.314453
21991.319347	113.877853	-33.793102	-1157.782104
21991.322635	120.482170	-46.475746	-1158.074219
21991.325950	126.560486	-59.742840	-1157.957397
21991.329283	133.106369	-72.250153	-1157.431396
21991.332640	138.483337	-84.582123	-1155.502686
21991.335994	145.146103	-97.498535	-1152.872681
21991.339292	151.107544	-110.005844	-1150.417847
21991.342591	157.185852	-122.571594	-1147.145020
21991.345935	162.855057	-134.260666	-1143.229248
21991.349222	168.933365	-145.832840	-1139.663940
21991.352630	174.544128	-157.054352	-1134.228638
21991.355953	180.271774	-168.451202	-1128.559448
21991.359262	185.473404	-179.438919	-1123.825195
21991.363020	191.493271	-189.900635	-1116.753418
21991.366327	196.928696	-200.654602	-1109.739990
21991.369681	202.890121	-210.414948	-1101.557617
21991.373014	207.156631	-220.584457	-1093.784424
21991.376320	212.124496	-229.585052	-1085.368286
21991.379628	217.267685	-238.118042	-1076.075439
21991.382948	222.177109	-247.235535	-1066.899536
21991.386305	226.677368	-255.593231	-1057.022217
