time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
22441.545584	288.626923	1.247210	-0.065064	125
22444.335267	288.749695	1.190430	-0.063019	127
22447.123226	288.945160	1.134632	-0.061466	129
22449.912433	289.081848	1.079510	-0.059990	131
22452.701309	289.125519	1.024657	-0.058995	133
22455.494186	288.978668	0.970853	-0.058379	135
22458.292339	288.689545	0.921575	-0.057509	137
22461.088853	288.673096	0.877430	-0.055643	139
22463.880825	288.911591	0.836068	-0.053444	141
22466.665296	288.926331	0.796360	-0.051286	143
22469.447107	289.000519	0.758813	-0.048984	145
22472.228688	289.258575	0.719154	-0.046731	147
22475.013230	289.403534	0.676745	-0.045191	149
22477.801903	289.186279	0.634624	-0.043989	151
22480.600450	288.769257	0.598080	-0.042410	153
22483.398601	288.497559	0.565417	-0.040463	155
22486.198765	288.635895	0.536442	-0.038162	157
22488.992270	288.931519	0.506331	-0.036139	159
22491.782974	289.249664	0.477793	-0.034395	161
22494.573297	289.498260	0.451916	-0.033060	163
22497.363107	289.585876	0.428932	-0.031528	165
22500.142883	289.265778	0.408152	-0.030348	167
22502.917615	288.431885	0.386789	-0.028625	169
