crossing time (s)	slope (V/s)	crossing number
22730.460032	58.543960	856
22731.840249	52.322259	857
22733.237340	52.231810	858
22734.632627	52.677260	859
22736.036825	49.145402	860
22737.426130	46.895297	861
22738.824790	46.230913	862
22740.199149	44.804990	863
22741.627689	43.383446	864
22742.986883	42.853103	865
22744.398271	42.999125	866
22745.781426	37.180551	867
22747.202048	37.135928	868
22748.567408	35.632177	869
22749.986654	40.143202	870
22751.343288	26.895094	871
22752.762170	34.500066	872
22754.120180	38.171213	873
22755.574662	29.678675	874
22756.937944	27.846179	875
22758.333707	26.476794	876
22759.714292	29.979546	877
22761.135385	25.516200	878
22762.503826	26.946293	879
22763.922282	24.943281	880
22765.292361	23.790959	881
22766.716156	23.302300	882
22768.079393	22.376649	883
22769.499395	21.776711	884
22770.867802	19.909352	885
22772.285198	19.745562	886
22773.653970	19.150925	887
22775.082422	17.318772	888
22776.442774	18.348876	889
22777.866337	17.393780	890
22779.227096	16.412775	891
22780.655086	16.123487	892
22782.014505	14.694069	893
22783.441340	14.312432	894
22784.803980	14.602293	895
22786.230350	14.113482	896
22787.591850	13.808414	897
22789.026235	13.243633	898
22790.372127	12.674662	899
22791.815097	11.815145	900
22793.153648	11.047818	901
22794.601167	10.564482	902
22795.947724	10.526231	903
22797.396321	10.596471	904
22798.734147	9.683893	905
22800.187472	8.683811	906
22801.517582	7.465308	907
22802.971135	8.232877	908
22804.303996	8.559467	909
22805.763791	7.807873	910
22807.084073	7.832162	911
22808.552664	6.850638	912
22809.880782	7.001243	913
22811.341954	6.986585	914
22812.671794	6.674423	915
22814.123734	6.463539	916
22815.449174	5.698593	917
22816.918041	4.128090	918
22818.241590	6.415304	919
22819.696816	5.495294	920
22821.016748	4.866288	921
22822.491013	4.641972	922
22823.809790	5.353772	923
22825.282275	5.889160	924
