time (s)	det(V)
23204.856657	-1.030405	
23204.858184	-1.056408	
23204.859704	-1.076022	
23204.861269	-1.104433	
23204.862784	-1.129735	
23204.864351	-1.153490	
23204.865845	-1.180351	
23204.867455	-1.202342	
23204.868957	-1.228054	
23204.870559	-1.258525	
23204.872052	-1.284793	
23204.873625	-1.321129	
23204.875148	-1.349404	
23204.876718	-1.378959	
23204.878249	-1.407460	
23204.879764	-1.442377	
23204.881352	-1.474036	
23204.882860	-1.506307	
23204.884434	-1.541538	
23204.885933	-1.567775	
23204.887553	-1.589056	
23204.889042	-1.597741	
23204.890629	-1.597995	
23204.892125	-1.597850	
23204.893702	-1.597959	
23204.895217	-1.598100	
23204.896782	-1.597963	
23204.898317	-1.598056	
23204.899860	-1.598048	
23204.901415	-1.598015	
23204.902929	-1.598108	
23204.904498	-1.598011	
23204.906014	-1.597967	
23204.907623	-1.598116	
23204.909107	-1.597935	
23204.910671	-1.598140	
23204.912189	-1.598056	
23204.913771	-1.597995	
23204.915274	-1.598120	
23204.916794	-1.598140	
23204.918370	-1.598019	
23204.919884	-1.598092	
23204.921473	-1.598064	
23204.922957	-1.598116	
23204.924571	-1.597987	
23204.926077	-1.597991	
23204.927678	-1.598068	
23204.929170	-1.598040	
23204.930736	-1.598011	
23204.932246	-1.598060	
23204.933823	-1.598132	
23204.935338	-1.598136	
23204.936909	-1.598100	
23204.938438	-1.598148	
23204.939949	-1.598031	
23204.941521	-1.598072	
23204.943038	-1.598076	
23204.944622	-1.598096	
23204.946108	-1.598124	
23204.947698	-1.598064	
23204.949216	-1.598084	
23204.950822	-1.597955	
23204.952322	-1.598019	
23204.953886	-1.598060	
23204.955408	-1.598104	
23204.956975	-1.598040	
23204.958495	-1.598064	
23204.960026	-1.598140	
23204.961593	-1.598140	
23204.963085	-1.598023	
23204.964661	-1.598040	
23204.966204	-1.598007	
23204.967816	-1.598112	
23204.969317	-1.598036	
23204.970883	-1.598132	
23204.972404	-1.598100	
23204.973965	-1.598027	
23204.975489	-1.598035	
23204.977023	-1.598100	
23204.978596	-1.598160	
23204.980107	-1.598160	
23204.981689	-1.598168	
23204.983182	-1.598092	
23204.984754	-1.598096	
23204.986277	-1.597931	
23204.988038	-1.598003	
23204.989594	-1.598116	
23204.991253	-1.598023	
23204.992834	-1.598152	
23204.994487	-1.597919	
