time (s)	magX	magY	magZ
25404.849025	152.860916	-84.340157	-38.932789
25404.852352	151.925781	-83.521919	-38.348335
25404.855688	150.756882	-82.820580	-38.231445
25404.859020	150.523102	-82.995911	-36.711868
25404.862351	149.763306	-82.820580	-36.536530
25404.865688	148.419067	-82.294563	-35.367622
25404.869013	147.483932	-82.119232	-35.776741
25404.872350	147.542374	-81.651665	-34.607834
25404.875707	147.191711	-81.476334	-33.672710
25404.879011	146.256577	-80.950317	-32.679138
25404.882348	146.256577	-80.833427	-32.854473
25404.885682	145.730576	-80.774986	-32.445354
25404.889024	145.321457	-80.132088	-31.977793
25404.892353	143.568085	-79.489189	-31.101112
25404.895682	142.808304	-79.138519	-30.575104
25404.899016	142.925186	-79.021629	-29.289307
25404.902344	142.574509	-78.846291	-29.464643
25404.905680	141.814728	-78.437172	-29.113972
25404.909036	141.522507	-78.320282	-28.763298
25404.912351	140.762711	-77.794273	-28.120399
25404.915679	141.054947	-77.735832	-27.535946
25404.919034	140.762711	-77.268265	-26.893047
25404.922348	139.593811	-77.209816	-26.951492
25404.925676	139.418472	-76.508476	-26.191704
25404.929016	138.541794	-76.742256	-25.665695
25404.932350	138.074234	-76.450035	-24.905907
25404.936104	137.489777	-75.281128	-26.191704
25404.939432	137.139099	-75.456459	-25.198132
25404.942767	136.905319	-74.872002	-24.847460
25404.946097	136.262421	-75.398018	-24.905907
25404.949461	136.145538	-74.872002	-23.912334
25404.952791	135.911758	-74.579781	-24.087671
25404.956137	135.210403	-74.521332	-23.386326
25404.959437	134.976624	-74.521332	-22.918762
25404.962793	134.567505	-74.112221	-23.094099
25404.966106	134.216843	-73.703102	-22.509647
25404.969431	134.216843	-73.936882	-22.801872
25404.972763	133.749268	-73.703102	-21.925194
25404.976103	133.515488	-73.644653	-22.977209
25404.979430	133.924606	-74.053772	-22.392756
25404.982783	133.573944	-73.819992	-21.574520
25404.986122	133.749268	-73.703102	-23.327881
25404.989442	132.989487	-73.819992	-22.801872
25404.992807	133.515488	-73.761543	-22.626537
25404.996105	133.398590	-73.527763	-22.626537
25404.999466	133.047928	-73.293983	-22.334309
25405.002764	132.931030	-73.644653	-22.451200
25405.006102	132.755692	-73.761543	-22.977209
25405.009874	132.989487	-73.995331	-21.925194
25405.013206	132.638809	-73.293983	-21.808302
25405.016616	132.463470	-74.112221	-21.691410
25405.019936	132.346588	-74.287552	-22.217419
25405.023227	133.047928	-74.053772	-21.866747
25405.026521	133.340164	-73.761543	-21.983639
25405.029859	132.697250	-74.229111	-22.217419
25405.033195	132.931030	-73.995331	-22.451200
25405.036543	133.515488	-74.287552	-23.094099
25405.039934	133.690826	-74.346001	-23.035654
25405.043291	133.807724	-73.761543	-23.035654
25405.046537	133.632370	-74.170662	-23.327881
25405.049855	134.041504	-74.229111	-22.568092
25405.053184	133.573944	-73.819992	-23.795444
25405.056531	134.509064	-74.053772	-23.503216
25405.059867	133.924606	-74.053772	-23.152546
25405.063270	134.918182	-74.872002	-22.684982
25405.066582	134.918182	-74.229111	-23.210991
25405.069912	134.976624	-74.696671	-23.210991
25405.073186	135.210403	-74.579781	-24.438343
25405.076503	135.619522	-74.053772	-24.087671
25405.079843	135.794861	-75.047340	-23.853889
25405.083239	135.619522	-74.988899	-24.496788
25405.086608	136.320862	-75.398018	-24.555233
25405.089908	136.788437	-74.872002	-24.905907
25405.093255	136.963760	-75.047340	-24.905907
25405.096942	137.080658	-75.398018	-25.022797
25405.100279	137.255997	-76.157799	-25.373468
25405.103706	137.781998	-75.690239	-25.548805
25405.107022	138.483353	-75.748688	-25.841030
25405.110382	138.541794	-76.742256	-26.191704
25405.113701	139.009354	-76.683815	-26.308594
25405.117016	139.652252	-76.800705	-25.899475
25405.120335	140.295151	-77.268265	-27.009937
25405.123703	140.528931	-77.443604	-27.535946
25405.127036	141.230270	-78.086502	-28.178844
25405.130405	141.697845	-78.320282	-28.880190
25405.133715	142.399185	-78.378723	-29.055527
25405.137042	142.691406	-78.787849	-29.581533
25405.140348	143.684982	-78.729401	-30.399769
25405.143727	143.977203	-79.547630	-31.393339
25405.147043	144.737000	-80.132088	-31.218004
25405.150354	144.853897	-80.658096	-31.685566
25405.153689	145.964355	-80.833427	-33.380482
25405.157019	146.607239	-80.950317	-33.672710
25405.160356	146.957932	-81.476334	-35.016953
25405.163766	148.302170	-81.885452	-35.718296
25405.167069	148.419067	-82.411453	-36.536530
25405.170375	149.587967	-82.820580	-37.588547
25405.173708	150.523102	-83.463470	-37.822327
25405.177063	150.698425	-84.047928	-38.406784
25405.180453	151.750443	-84.106377	-39.809471
25405.183729	152.744019	-85.216835	-40.978378
25405.187052	153.854477	-85.275284	-41.270603
25405.190395	154.497375	-85.859734	-41.971947
25405.194134	155.490936	-86.035065	-42.731739
25405.197481	155.607834	-86.853302	-43.842201
25405.200796	157.127426	-87.087082	-44.192871
25405.204137	157.711868	-87.613091	-45.186443
25405.207428	159.231461	-87.846878	-46.296906
25405.210742	159.582123	-88.372879	-47.232033
25405.214025	160.634140	-88.489769	-47.933372
25405.217409	161.101700	-89.366455	-48.576271
25405.220769	162.329041	-89.249565	-49.277618
25405.224087	163.497955	-89.717125	-50.621864
25405.227384	164.608429	-90.243134	-51.673878
25405.230710	165.309769	-90.827591	-52.433666
25405.234027	166.537125	-91.996498	-53.544128
25405.237461	167.647583	-91.704269	-54.829926
25405.240750	168.232025	-92.580948	-55.998833
25405.244082	169.400940	-93.340736	-56.524841
25405.247438	170.745193	-93.749855	-57.693748
25405.250725	171.972534	-94.743423	-58.804211
25405.254053	172.673874	-95.386322	-60.499126
25405.257832	174.018127	-95.620102	-61.668034
25405.261146	174.894806	-96.379890	-63.421394
25405.264443	176.005264	-97.256569	-64.531853
25405.267739	177.407944	-98.425476	-66.168327
25405.271141	178.752197	-98.834602	-67.337234
25405.274502	180.037994	-100.178841	-69.850388
25405.277829	181.674469	-100.704857	-70.843948
25405.281224	182.668030	-101.347748	-73.357101
25405.284529	184.070724	-102.224426	-75.285797
25405.287852	185.122742	-102.750435	-77.389832
25405.291127	186.992996	-104.094681	-79.552307
25405.294427	188.746353	-104.562241	-81.656342
25405.297827	190.441269	-105.438927	-83.701935
25405.301133	191.960846	-106.081825	-84.987732
25405.304442	193.012863	-107.250732	-87.442429
25405.307761	194.824661	-108.244308	-89.429581
25405.311110	197.220932	-108.887199	-92.410286
25405.314479	197.746933	-110.173004	-94.572769
25405.317848	199.850967	-111.283463	-97.378143
25405.321170	201.721222	-112.335472	-99.774406
25405.324554	203.240799	-112.803040	-102.229111
25405.327870	204.935715	-113.971947	-104.333145
25405.331204	206.279968	-113.971947	-106.729401
25405.334510	207.799530	-115.316193	-110.353012
25405.337867	209.845123	-115.491524	-112.281708
25405.341216	211.598480	-116.718880	-115.379311
25405.344515	213.644073	-117.770889	-118.360031
25405.348246	215.338989	-118.589134	-121.399185
25405.351570	217.092346	-119.173576	-124.146111
25405.354920	218.845703	-120.342491	-126.893044
25405.357859	220.482193	-121.219170	-130.107544
25405.361572	222.352432	-122.329628	-133.088257
25405.364894	223.871994	-123.323204	-135.893631
25405.368215	225.508484	-123.673882	-139.166565
25405.371519	227.554062	-124.609001	-142.381073
25405.374864	229.482773	-125.661018	-144.601990
25405.378143	231.119232	-126.946815	-148.517822
25405.381515	233.106384	-127.414375	-152.024536
25405.384833	234.742844	-128.875504	-155.881943
25405.388126	236.437759	-129.869080	-160.382233
25405.391453	238.424896	-130.511978	-164.298065
25405.394754	240.236725	-131.914658	-168.447693
25405.398199	242.048508	-132.966690	-172.597321
25405.401530	244.269455	-134.018692	-177.389832
25405.404846	245.789001	-135.070709	-181.188782
25405.408228	247.483932	-136.707184	-185.513733
25405.411553	249.412643	-137.291626	-190.598480
25405.414911	251.107559	-138.694321	-195.391006
25405.418255	252.510239	-139.571014	-200.534195
25405.421574	254.088257	-141.032135	-205.911163
25405.424877	255.900055	-141.908829	-210.879013
25405.428183	257.594971	-143.545288	-216.898895
25405.431499	258.880768	-144.363525	-222.334305
25405.434791	261.043243	-145.181763	-228.237289
25405.438167	262.796600	-146.116882	-234.198730
25405.441545	264.374634	-146.993561	-239.926361
25405.444858	265.777313	-148.337799	-246.355362
25405.448170	268.407379	-149.389832	-251.440094
25405.451570	270.043823	-149.798935	-257.869080
25405.454861	271.329651	-151.084747	-264.356506
25405.458660	272.907654	-151.844528	-270.960846
25405.462289	275.070129	-152.312088	-277.915833
25405.465626	275.946808	-153.480988	-283.117493
25405.468957	277.875519	-153.247208	-290.773804
25405.472326	279.278198	-154.416138	-297.202820
25405.475634	280.330200	-155.468140	-304.157806
25405.478954	281.908264	-156.169479	-311.171234
25405.482296	283.486267	-156.578598	-318.886047
25405.485639	283.836945	-157.279938	-326.074799
25405.488953	285.999420	-157.630615	-333.380463
25405.492293	286.992981	-158.156631	-339.926361
25405.495623	287.928101	-158.799530	-348.225616
25405.498956	288.278809	-158.390411	-355.472809
25405.502289	289.623016	-159.559326	-362.953827
25405.505624	290.850372	-159.968430	-370.960846
25405.508956	290.675049	-159.617752	-379.435425
25405.512286	291.142609	-160.085312	-387.734680
25405.515644	291.493286	-160.728226	-396.559906
25405.518956	291.610168	-160.669785	-404.333130
25405.522286	292.369965	-161.195786	-412.866150
25405.525619	292.019287	-161.429565	-422.158966
25405.528951	292.720642	-161.604904	-430.341339
25405.532334	291.960846	-161.254227	-438.932770
25405.535629	291.317932	-161.721786	-448.400940
25405.538958	290.499725	-161.137344	-457.752197
25405.542289	289.915253	-161.078888	-466.460541
25405.545620	289.330811	-161.137344	-476.337830
25405.548947	287.343689	-160.903564	-486.156616
25405.552285	286.583893	-160.903564	-495.683197
25405.555616	285.648743	-160.436005	-505.092926
25405.558975	283.778503	-159.383972	-514.151978
25405.562283	281.732910	-158.390411	-525.081177
25405.565617	280.388672	-157.689072	-534.198730
25405.568950	278.518433	-156.929276	-544.368164
25405.572286	275.888367	-156.169479	-554.245483
25405.575617	274.076569	-155.059021	-563.479858
25405.578951	271.095856	-153.831665	-574.058472
25405.582280	268.290466	-152.195206	-583.643555
25405.585614	265.017517	-150.383392	-593.929932
25405.589405	261.393921	-148.746933	-603.164185
25405.592787	258.822327	-147.461121	-613.216797
25405.596046	255.666290	-145.532425	-622.158936
25405.599369	251.575119	-143.136169	-631.744019
25405.602730	247.834610	-140.447693	-640.686157
25405.606041	243.392761	-138.168320	-650.329712
25405.609364	238.775574	-136.239624	-658.979492
25405.612702	233.866180	-133.492676	-668.447754
25405.616039	229.774979	-130.745758	-676.162476
25405.619418	224.514923	-127.881935	-683.701904
25405.622721	219.137939	-124.784340	-691.942749
25405.626061	214.520752	-121.862068	-699.891357
25405.629406	208.267105	-119.524254	-708.015259
25405.632703	202.714798	-116.075974	-715.729980
25405.636038	196.168915	-113.036819	-722.801880
25405.639404	190.265930	-108.711868	-728.821777
25405.642691	184.479843	-105.322037	-736.419678
25405.646038	177.466400	-102.633553	-741.738159
25405.649362	171.154297	-98.717705	-747.758057
25405.652697	163.965515	-95.678551	-753.251953
25405.656056	157.302750	-92.230278	-758.570435
25405.659393	149.529526	-88.372879	-764.064331
25405.662732	142.691406	-84.749268	-769.090576
25405.666037	133.866150	-81.067207	-774.175293
25405.669793	126.151367	-76.917595	-779.026245
25405.673123	118.085915	-73.410873	-781.714844
25405.676485	109.143776	-69.202805	-786.682617
25405.679807	101.721214	-65.228523	-790.306274
25405.683244	93.421974	-61.078903	-792.293457
25405.686538	84.655167	-56.461723	-795.098755
25405.689880	75.537697	-51.786091	-797.436646
